kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
104,32,4,1,0.000142813,0.000142813,1000000,7.00218,17,17,1,1,1,1,"0,0,0:1,0,0;f0,0,0:1,1,1;f0,0,0:1,1,1;0,0,0:0,1,0;f0,0,0:1,1,1;f0,0,0:1,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0:0,0,1;f0,0,0:1,1,1;f0,0,0:1,1,1",1024
107,32,4,1,3.69549e-05,3.69549e-05,1010000,27.3306,4,4,1,0,1,1,"0,0,0;0,0,0;f0,0,0:0,1,1;f0,0,0:0,1,1",1024
108,32,4,1,3.69549e-05,3.69549e-05,1010000,27.3306,4,4,1,1,0,1,"0,0,0;0,0,0;f0,0,0:1,0,1;f0,0,0:1,0,1",1024
109,32,4,1,3.60012e-05,3.60012e-05,1010000,28.0546,4,4,1,1,1,0,"0,0,0;0,0,0;f0,0,0:1,1,0;f0,0,0:1,1,0",1024
110,32,4,1,5.00679e-05,5.00679e-05,1124864,22.4668,6,6,1,1,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:0,1,0;0,0,0:0,0,1",1024
112,32,4,1,7.79629e-05,7.79629e-05,1020000,13.0832,8,8,2,2,0,0,"0,0,0;0,0,0:-1,0,0;s3D_000_P100_stride3D_x;s3D_000_P100_M100_stride3D_x;0,0,0:1,0,0:-1,0,0:-2,0,0;0,0,0:1,0,0:-1,0,0:-2,0,0;0,0,0;0,0,0",1024
113,32,4,1,8.79765e-05,8.79765e-05,1000000,11.3667,11,11,1,1,0,0,"0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:1,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0:1,0,0",1024
122,32,4,1,5.48363e-05,5.48363e-05,1124864,20.5131,6,6,1,1,1,1,"0,0,0;0,0,0;0,0,0;0,0,0:1,0,0;0,0,0:0,1,0;0,0,0:0,0,1",1024
128,32,4,1,2.81334e-05,2.81334e-05,1060904,37.7098,2,2,1,1,1,1,"0,0,0;f0,0,0:1,-1,-1",1024
129,32,4,1,4.79221e-05,4.79221e-05,1050703,21.9252,5,5,1,1,1,1,"0,0,0;f0,0,0:-1,-1,-1;f0,0,0:-1,-1,-1;0,0,0;0,0,0:-1,0,0",1024
